'y-axis saved as y
'x,KHM052_h-CuMnAs_reflection_3_21_19_2.raw,Ycalc
3,102,128.493025
3.02049426,125,126.242275
3.04098853,116,124.041111
3.06148279,117,121.888567
3.08197705,118,119.783452
3.10247131,109,117.724358
3.12296558,109,115.710461
3.14345984,111,113.741099
3.1639541,104,111.815573
3.18444836,111,109.933146
3.20494263,118,108.093069
3.22543689,97,106.294601
3.24593115,104,104.537012
3.26642541,108,102.819591
3.28691968,114,101.141658
3.30741394,122,99.5025609
3.3279082,106,97.90169
3.34840246,99,96.3384519
3.36889673,115,94.8122558
3.38939099,87,93.322495
3.40988525,107,91.8683395
3.43037951,115,90.4487464
3.45087378,116,89.063267
3.47136804,112,87.7116416
3.4918623,94,86.3936315
3.51235656,92,85.1090369
3.53285083,111,83.8577315
3.55334509,95,82.6396891
3.57383935,117,81.4549893
3.59433361,108,80.3038329
3.61482788,96,79.1865624
3.63532214,98,78.1036891
3.6558164,96,77.0559242
3.67631066,84,76.0442019
3.69680493,86,75.0697298
3.71729919,89,74.1340505
3.73779345,79,73.2391223
3.75828771,78,72.3874104
3.77878198,85,71.5820129
3.79927624,70,70.8268162
3.8197705,82,70.1267188
3.84026476,69,69.4879103
3.86075903,68,68.918235
3.88125329,65,68.4276894
3.90174755,62,68.0291395
3.92224181,54,67.7393188
3.94273608,52,67.5804431
3.96323034,69,67.5831117
3.9837246,67,67.7905241
4.00421886,63,68.2552809
4.02471313,49,69.0221727
4.04520739,71,70.1336913
4.06570165,57,71.6558561
4.08619591,51,73.7015251
4.10669018,62,76.4611282
4.12718444,61,80.1411111
4.1476787,61,84.6580118
4.16817296,69,89.4831981
4.18866723,65,93.3580745
4.20916149,50,92.9308459
4.22965575,62,85.2560348
4.25015001,56,75.0337464
4.27064428,60,66.7499572
4.29113854,63,61.4803223
4.3116328,60,58.4661474
4.33212707,58,56.7765844
4.35262133,52,55.8122018
4.37311559,47,55.2055795
4.39360985,51,54.7623189
4.41410412,56,54.4000901
4.43459838,67,54.0878822
4.45509264,58,53.8124947
4.4755869,62,53.5669912
4.49608117,55,53.3471999
4.51657543,56,53.150401
4.53706969,50,52.9747169
4.55756395,68,52.8187897
4.57805822,53,52.6815985
4.59855248,50,52.5623492
4.61904674,45,52.4604053
4.639541,55,52.3752421
4.66003527,54,52.3064173
4.68052953,55,52.2535495
4.70102379,53,52.2163036
4.72151805,57,52.1943802
4.74201232,40,52.187508
4.76250658,72,52.1954378
4.78300084,51,52.2179381
4.8034951,73,52.2547918
4.82398937,58,52.305793
4.84448363,65,52.3707446
4.86497789,52,52.4494561
4.88547215,48,52.541744
4.90596642,60,52.6474304
4.92646068,59,52.7663407
4.94695494,57,52.8983006
4.9674492,59,53.0431291
4.98794347,63,53.2006345
5.00843773,52,53.3706372
5.02893199,58,53.5529847
5.04942625,72,53.7475682
5.06992052,66,53.9545293
5.09041478,45,54.1742231
5.11090904,59,54.4063951
5.1314033,66,54.65069
5.15189757,50,54.9068296
5.17239183,50,55.1746108
5.19288609,67,55.4538728
5.21338035,78,55.7444699
5.23387462,71,56.0462655
5.25436888,62,56.359117
5.27486314,58,56.6828687
5.2953574,73,57.0173744
5.31585167,65,57.3625128
5.33634593,69,57.7182049
5.35684019,74,58.0846215
5.37733445,65,58.4621481
5.39782872,77,58.8505651
5.41832298,74,59.2495541
5.43881724,68,59.6588718
5.4593115,66,60.0783474
5.47980577,61,60.5078507
5.50030003,55,60.9472671
5.52079429,60,61.3964977
5.54128855,69,61.8554458
5.56178282,69,62.3240161
5.58227708,57,62.8021143
5.60277134,66,63.2896466
5.62326561,63,63.78652
5.64375987,63,64.2926423
5.66425413,71,64.8079217
5.68474839,58,65.3322669
5.70524266,62,65.8655874
5.72573692,67,66.407793
5.74623118,57,66.9587942
5.76672544,63,67.5185017
5.78721971,65,68.0868269
5.80771397,68,68.6636812
5.82820823,84,69.2489768
5.84870249,82,69.842626
5.86919676,72,70.4445415
5.88969102,72,71.0546361
5.91018528,80,71.6728231
5.93067954,69,72.2990159
5.95117381,63,72.9331282
5.97166807,90,73.575074
5.99216233,68,74.2247674
6.01265659,56,74.882123
6.03315086,76,75.5470558
6.05364512,72,76.2194812
6.07413938,69,76.8993148
6.09463364,72,77.5864698
6.11512791,56,78.2808536
6.13562217,83,78.982373
6.15611643,60,79.6909462
6.17661069,93,80.4064909
6.19710496,100,81.1289219
6.21759922,73,81.8581531
6.23809348,83,82.5940978
6.25858774,98,83.3366694
6.27908201,75,84.0857809
6.29957627,82,84.841345
6.32007053,93,85.6032744
6.34056479,74,86.3714816
6.36105906,63,87.1458787
6.38155332,83,87.926378
6.40204758,88,88.7128916
6.42254184,69,89.5053318
6.44303611,89,90.3036106
6.46353037,92,91.1076371
6.48402463,97,91.9173146
6.50451889,81,92.7325445
6.52501316,79,93.55324
6.54550742,102,94.3793128
6.56600168,80,95.210672
6.58649594,79,96.0472249
6.60699021,81,96.8888784
6.62748447,70,97.7355385
6.64797873,110,98.5871109
6.66847299,94,99.4435007
6.68896726,97,100.304612
6.70946152,93,101.17035
6.72995578,98,102.040618
6.75045004,89,102.915318
6.77094431,99,103.794353
